,IT・科学,おもしろ,エンタメ,グルメ,コラム,スポーツ,国内,海外
1,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.020618556701030927
5000,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.020618556701030927
ariake,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.022727272727272728,0.012345679012345678,0.010309278350515464
bs,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.022727272727272728,0.012345679012345678,0.010309278350515464
speake,0.024691358024691357,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
vs,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.022727272727272728,0.012345679012345678,0.010309278350515464
あなた,0.024691358024691357,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
う,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.024390243902439025,0.011363636363636364,0.012345679012345678,0.010309278350515464
お相手,0.012345679012345678,0.012195121951219513,0.024096385542168676,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
ぐぐっ,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.024390243902439025,0.011363636363636364,0.012345679012345678,0.010309278350515464
こらえる,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.024390243902439025,0.011363636363636364,0.012345679012345678,0.010309278350515464
そー,0.012345679012345678,0.024390243902439025,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
ない,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.020618556701030927
なぜ,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.024390243902439025,0.011363636363636364,0.012345679012345678,0.010309278350515464
なっ,0.024691358024691357,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
はい,0.012345679012345678,0.024390243902439025,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
み,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.020618556701030927
アソート,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.023809523809523808,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
アンディ,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.022727272727272728,0.012345679012345678,0.010309278350515464
コプター,0.012345679012345678,0.024390243902439025,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
コメント,0.012345679012345678,0.012195121951219513,0.024096385542168676,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
シーズン,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.023809523809523808,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
ストレス,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.020618556701030927
テニス,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.022727272727272728,0.012345679012345678,0.010309278350515464
ディズニーツムツム,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.023809523809523808,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
ドリーム,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.022727272727272728,0.012345679012345678,0.010309278350515464
ネット,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.020618556701030927
ハンモック,0.012345679012345678,0.024390243902439025,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
パッケージ,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.023809523809523808,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
ピノ,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.023809523809523808,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
フジ,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.022727272727272728,0.012345679012345678,0.010309278350515464
ヘッドホン,0.024691358024691357,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
マイク,0.024691358024691357,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
マルチ,0.012345679012345678,0.024390243902439025,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
モデル,0.012345679012345678,0.012195121951219513,0.024096385542168676,0.011904761904761904,0.012195121951219513,0.011363636363636364,0.012345679012345678,0.010309278350515464
ロディック,0.012345679012345678,0.012195121951219513,0.012048192771084338,0.011904761904761904,0.012195121951219513,0.022727272727272728,0.012345679012345678,0.010309278350515464
